component,props,events,states
Header,"activeRoute,notificationCount,walletSummary",navigate(route),"desktop,mobile,active_main_nav,active_utility"
ExperienceCard,"profile,isSaved,isFollowing","openProfile,save,follow","default,saved,followed,loading"
FilterBar,"filters,sort,options","changeFilter,clearFilters,changeSort","collapsed,expanded,empty_results"
AvatarUploader,"value,maxSize,allowedTypes","upload,remove,error","empty,preview,error,uploading"
ProfileForm,"draft,pricingCaps,validationErrors","change,saveDraft,preview,submit","draft,invalid,valid,submitting"
PriceInputs,"orgLevel,price30,price60,freeHelp,caps","changePrice,toggleFreeHelp","paid,free,capExceeded,disabled"
TimeProposalPicker,"dates,slots,selectedTimes,min,max","selectDate,toggleSlot,removeTime,submit","empty,invalidCount,validCount"
ConversationCard,"conversation,direction,action","primaryAction,openDetail,cancel","needsAction,tracking,done"
ConversationTabs,"activeTab,counts",changeTab,"sent,received"
WalletSummary,"balance,availablePayout,pendingPayout","topUp,requestPayout","loaded,missingSettlementInfo"
TransactionList,"transactions,filter",filterChange,"empty,loaded"
SettlementForm,"accountOwner,iban","save,cancel","invalid,valid,saved"
NotificationList,notifications,openNotification,"empty,unread,read,loaded"
NetworkTabs,"activeTab,counts",changeTab,"following,saved,followers"
FeedbackList,"feedbacks,summary",none,"empty,loaded"
Modal,"open,title,content","close,confirm","open,closed"
